show_id,type,title,director,cast,country,release_year,rating,duration,listed_in,imdb_rating
80221640,Movie,Ralph Breaks the Internet: Wreck-It Ralph 2,"Phil Johnston, Rich Moore","John C. Reilly, Sarah Silverman, Taraji P. Henson, Gal Gadot, Jack McBrayer, Jane Lynch, Alan Tudyk, Ed O'Neill, Susan Lucci, Jason Lee, Idina Menzel, Anika Noni Rose, Judy Reyes, Grant Show, Ana Ortiz, Ming-Na Wen, Rebecca Wisocky, Paige O'Hara, Linda Larkin, Mariana Klaveno, Daria Ramirez, Tom Irwin, Edy Ganem, Irene Bedard, Jodi Benson, Anthony Daniels",United States,2018,PG,113 min,"Children & Family Movies, Comedies",7.1
60001104,Movie,Daughters of the Dust,Julie Dash,"Cora Lee Day, Alva Rogers, Barbarao, Trula Hoosier, Adisa Anderson, Kaycee Moore, Bahni Turpin, Cheryl Lynn Bruce, Tommy Redmond Hicks, Cornell Royal","United Kingdom, United States",1991,NR,112 min,"Classic Movies, Dramas, Independent Movies",6.5
80132601,Movie,Havenhurst,Andrew C. Erin,"Julie Benz, Belle Shouse, Josh Stamberg, Danielle Harris, Douglas Tait, Matt Lasky, Dendrie Taylor, Toby Huss, Jennifer Blanc, Fionnula Flanagan",United States,2016,TV-MA,85 min,"Horror Movies, Thrillers",4.8
80176866,TV Show,Man to Man,Chang-Min Lee,"Hae-Jin Park, Sung-woong Park, Min-jung Kim, Jung-an Chae, Jung-hoon Yeon, Hyun-sung Jang, Man-sik Jung, Shin-il Kang, Ho-jin Chun, In-ho Tae",South Korea,2017,TV-14,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",6.9
80114989,Movie,Sword Master,Derek Yee,"Kenny Lin, Peter Ho, Jiang Mengjie, Jiang Yiyan, Paw Hee Ching","China, Hong Kong",2016,TV-MA,108 min,"Action & Adventure, Dramas, International Movies",6.0
81092768,Movie,#Selfie,Cristina Jacob,"Flavia Hojda, Crina Semciuc, Olimpia Melinte, Levent Sali, Vlad Logigan, Alex Calin, Alina Chivulescu, Razvan Vasilescu",Romania,2014,TV-MA,125 min,"Comedies, Dramas, International Movies",6.1
81092766,Movie,#Selfie 69,Cristina Jacob,"Maia Morgenstern, Olimpia Melinte, Crina Semciuc, Flavia Hojda, Maria Dinulescu, Alex Calin, Vlad Logigan, Levent Sali, Silvia Busuioc, Mihaela Mihut",Romania,2016,TV-MA,119 min,"Comedies, Dramas, International Movies",6.3
70202141,Movie,50/50,Jonathan Levine,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard, Anjelica Huston, Serge Houde, Andrew Airlie, Matt Frewer, Philip Baker Hall, Marie Avgeropoulos, Jessica Parker Kennedy",United States,2011,R,100 min,"Comedies, Dramas, Independent Movies",7.6
81032375,Movie,Bullitt County,David McCracken,"Mike C. Nelson, Jenni Melear, David McCracken, Napoleon Ryan, Dorothy Lyman, Richard Riehle",United States,2018,TV-MA,98 min,"Independent Movies, Thrillers",4.8
352989,Movie,Carrie,Brian De Palma,"Sissy Spacek, Piper Laurie, Amy Irving, William Katt, John Travolta, Nancy Allen, Betty Buckley, P.J. Soles, Priscilla Pointer, Sydney Lassick, Stefan Gierasch, Michael Talbott, Doug Cox, Harry Gold, Noelle North",United States,1976,R,98 min,"Classic Movies, Cult Movies, Horror Movies",7.4
81062606,Movie,III Smoking Barrels,Sanjib Dey,"Subrat Dutta, Indraneil Sengupta, Mandakini Goswami, Amrita Chattopadhyay, Nalneesh Neel, Niloy Sankar Gupta, Shiny Gogoi, Siddharth Boro",India,2017,TV-MA,128 min,"Dramas, Independent Movies, International Movies",6.8
81092767,Movie,Love Is a Story,Cristina Jacob,"Raluca Aprodu, Dragos Bucur, Ducu Darie",Romania,2015,TV-MA,105 min,"International Movies, Romantic Movies",6.1
81092909,Movie,"Oh, Ramona!",Cristina Jacob,"Bogdan Iancu, Aggy K. Adams, Holly Horne, Basil Eidenbenz, Melanie Ebanks, Leonardo Boudreau, Andromeda Godfrey",Romania,2019,TV-MA,109 min,"Comedies, International Movies",4.9
81070008,Movie,Prosecuting Evil: The Extraordinary World of Ben Ferencz,Barry Avrich,Ben Ferencz,Canada,2019,TV-14,83 min,Documentaries,7.3
70098605,Movie,Righteous Kill,Jon Avnet,"Robert De Niro, Al Pacino, 50 Cent, Carla Gugino, John Leguizamo, Donnie Wahlberg, Brian Dennehy, Trilby Glover",United States,2008,R,101 min,"Dramas, Thrillers",6.0
81077539,Movie,Satan & Adam,V. Scott Balcerek,"Sterling Magee, Adam Gussow",United States,2018,TV-14,78 min,"Documentaries, Music & Musicals",7.3
20129240,Movie,Small Soldiers,Joe Dante,"Kirsten Dunst, Gregory Smith, Jay Mohr, Phil Hartman, Kevin Dunn, Denis Leary, Frank Langella, Tommy Lee Jones, Ernest Borgnine",United States,1998,PG-13,110 min,"Action & Adventure, Comedies, Sci-Fi & Fantasy",6.2
70108017,Movie,The Box,Richard Kelly,"Cameron Diaz, James Marsden, Frank Langella, James Rebhorn, Holmes Osborne, Sam Oz Stone, Gillian Jacobs, Celia Weston, Deborah Rush",United States,2009,PG-13,116 min,"Sci-Fi & Fantasy, Thrillers",5.6
70011219,Movie,The Phantom of the Opera,Joel Schumacher,"Gerard Butler, Emmy Rossum, Patrick Wilson, Miranda Richardson, Minnie Driver, Ciarán Hinds, Simon Callow, Victor McGuire, Jennifer Ellison","United Kingdom, United States",2004,PG-13,141 min,"Dramas, Music & Musicals, Romantic Movies",7.3
80097424,Movie,The Space Between Us,Peter Chelsom,"Gary Oldman, Asa Butterfield, Carla Gugino, Britt Robertson, BD Wong, Janet Montgomery, Trey Tucker",United States,2016,PG-13,120 min,"Action & Adventure, Romantic Movies, Sci-Fi & Fantasy",6.4
80203143,Movie,Then Came You,Peter Hutchings,"Asa Butterfield, Maisie Williams, Nina Dobrev, Ken Jeong, Tyler Hoechlin, David Koechner, Peyton List, Tituss Burgess",United States,2019,TV-14,97 min,"Comedies, Dramas, Independent Movies",7.0
